well_id|county|spud_date|completion_date
1|County 1|2014-08-12|2015-02-21
2|County 1|2019-10-06|2020-07-02
3|County 1|2013-01-15|2013-05-23
4|County 1|2017-10-13|2018-04-18
5|County 9|2011-05-29|2011-12-19
6|County 6|2013-12-17|2014-07-03
7|County 5|2015-04-28|2016-09-09
8|County 9|2014-08-16|2015-02-16
9|County 1|2018-01-25|2018-08-10
10|County 8|2008-05-27|2008-08-01
11|County 6|2020-02-20|2023-06-09
12|County 1|2018-07-02|2018-12-25
13|County 6|2015-12-13|2017-09-12
14|County 1|2012-06-10|2013-04-21
15|County 8|2020-10-31|2021-02-09
16|County 6|2019-08-27|2021-01-07
17|County 6|2014-06-15|2015-01-25
18|County 1|2019-08-07|2019-11-27
19|County 5|2010-05-14|2010-07-13
20|County 9|2014-06-18|2014-11-16
21|County 4|2013-09-19|2013-11-17
22|County 1|2015-12-03|2016-05-14
23|County 1|2013-10-13|2014-05-20
24|County 9|2014-02-21|2014-08-19
25|County 8|2011-03-17|2011-10-02
26|County 8|2011-04-17|2011-06-20
27|County 1|2013-01-16|2013-08-09
28|County 6|2017-01-02|2017-11-01
29|County 8|2014-09-25|2015-02-25
30|County 5|2007-04-14|2007-08-01
31|County 8|2009-10-15|2009-11-23
32|County 9|2023-03-27|2023-08-16
33|County 7|2014-04-22|2014-08-19
34|County 8|2010-06-23|2011-01-14
35|County 8|2022-09-05|2023-02-05
36|County 1|2017-08-08|2017-11-20
37|County 8|2012-06-15|2012-09-14
38|County 8|2007-11-12|2008-01-24
39|County 1|2014-02-07|2014-07-06
40|County 8|2018-10-26|2019-06-22
41|County 9|2012-01-23|2012-06-08
42|County 6|2018-08-25|2019-03-14
43|County 1|2011-05-27|2011-08-31
44|County 4|2013-01-15|2013-04-29
45|County 1|2014-10-18|2015-05-11
46|County 9|2009-08-08|2009-10-19
47|County 6|2017-06-27|2017-12-11
48|County 1|2018-02-06|2018-11-05
49|County 9|2022-06-15|2023-02-20
50|County 1|2014-06-10|2015-01-12
51|County 1|2014-12-05|2015-05-07
52|County 6|2012-12-18|2013-06-25
53|County 1|2015-07-09|2016-08-21
54|County 9|2013-08-29|2013-11-26
55|County 9|2011-12-29|2012-02-19
56|County 9|2012-12-18|2013-07-04
57|County 8|2014-06-08|2015-02-20
58|County 9|2015-07-22|2017-06-10
59|County 9|2022-12-01|2023-10-12
60|County 7|2011-01-14|2011-08-04
61|County 9|2013-12-15|2014-05-03
62|County 6|2018-08-10|2018-10-23
63|County 8|2014-05-13|2015-02-28
64|County 6|2018-07-20|2018-12-08
65|County 9|2017-08-25|2018-03-02
66|County 7|2019-08-21|2019-11-21
67|County 5|2012-10-02|2013-01-17
68|County 8|2022-06-12|2023-01-09
69|County 9|2019-12-04|2020-11-13
70|County 6|2010-05-19|2010-07-22
71|County 5|2013-04-02|2013-06-18
72|County 9|2019-03-10|2019-08-21
73|County 9|2012-05-11|2012-07-18
74|County 8|2012-04-27|2012-08-20
75|County 9|2007-02-25|2007-05-15
76|County 9|2011-06-06|2011-08-30
77|County 8|2009-05-05|2009-06-17
78|County 1|2014-09-15|2015-06-12
79|County 9|2010-07-20|2010-10-17
80|County 6|2015-06-11|2015-07-30
81|County 5|2014-06-20|2014-10-23
82|County 8|2019-07-15|2020-01-07
83|County 1|2020-08-02|2022-05-06
84|County 1|2022-03-13|2023-06-30
85|County 8|2018-11-02|2019-06-14
86|County 9|2015-03-11|2015-08-13
87|County 8|2018-07-13|2019-02-23
88|County 9|2012-06-16|2012-09-20
89|County 1|2019-10-25|2020-12-14
90|County 8|2013-01-02|2013-05-25
91|County 5|2013-11-19|2014-04-18
92|County 8|2014-11-28|2015-10-03
93|County 9|2015-05-03|2017-01-06
94|County 8|2007-09-30|2007-12-01
95|County 6|2016-01-03|2017-07-01
96|County 6|2013-02-03|2013-03-22
97|County 7|2008-05-15|2008-07-09
98|County 4|2013-11-15|2014-03-26
99|County 6|2013-10-20|2014-03-13
100|County 6|2015-03-04|2017-01-24
101|County 6|2017-08-17|2018-02-05
102|County 8|2019-11-24|2021-04-25
103|County 8|2014-10-10|2015-02-19
104|County 1|2013-02-26|2013-07-05
105|County 1|2019-07-14|2020-02-26
106|County 8|2022-05-19|2023-02-04
107|County 6|2021-12-23|2022-05-29
108|County 9|2014-03-31|2014-09-22
109|County 8|2016-01-29|2017-08-26
110|County 8|2014-06-14|2015-03-20
111|County 6|2022-09-06|2023-05-01
112|County 1|2021-04-05|2021-10-04
113|County 7|2014-11-15|2015-06-13
114|County 1|2016-04-10|2016-09-18
115|County 8|2019-05-25|2019-08-30
116|County 5|2014-08-11|2014-09-16
117|County 1|2012-02-15|2012-04-25
118|County 6|2019-03-24|2019-10-06
119|County 9|2012-07-29|2012-09-26
120|County 1|2013-08-12|2014-01-05
121|County 3|2012-07-20|2012-11-21
122|County 9|2014-05-31|2015-01-26
123|County 8|2014-08-29|2017-09-03
124|County 5|2012-10-26|2013-03-08
125|County 6|2015-08-05|2017-10-28
126|County 5|2011-02-28|2011-10-13
127|County 8|2023-01-01|2023-07-24
128|County 6|2008-01-07|2008-03-11
129|County 9|2013-10-21|2014-05-22
130|County 8|2011-03-14|2011-07-02
131|County 1|2011-02-07|2011-08-05
132|County 9|2012-11-14|2013-03-06
133|County 1|2014-11-24|2015-04-09
134|County 6|2022-05-27|2022-10-27
135|County 1|2017-09-28|2018-04-19
136|County 8|2019-05-13|2020-01-21
137|County 1|2017-07-11|2017-10-30
138|County 1|2012-02-10|2012-04-23
139|County 6|2013-12-02|2014-08-25
140|County 1|2014-07-12|2014-12-28
141|County 1|2012-06-04|2012-09-17
142|County 9|2013-05-26|2013-09-26
143|County 1|2019-04-29|2019-10-26
144|County 9|2010-12-02|2011-04-15
145|County 8|2018-11-27|2019-07-17
146|County 6|2017-11-15|2018-08-07
147|County 1|2013-08-16|2014-02-05
148|County 1|2023-02-04|2023-06-01
149|County 3|2013-01-07|2013-03-19
150|County 8|2012-01-23|2012-10-19
151|County 6|2014-12-15|2017-09-09
152|County 9|2009-04-25|2009-06-19
153|County 9|2017-09-02|2018-10-22
154|County 6|2019-04-19|2019-11-01
155|County 9|2010-01-04|2010-03-19
156|County 5|2014-08-18|2014-09-20
157|County 1|2008-08-01|2008-10-01
158|County 1|2015-02-23|2015-09-13
159|County 8|2023-02-27|2023-09-11
160|County 9|2013-12-09|2014-03-18
161|County 1|2017-06-05|2018-08-27
162|County 8|2010-12-22|2011-08-01
163|County 6|2018-04-02|2018-06-30
164|County 9|2010-10-13|2011-03-11
165|County 1|2012-10-05|2013-02-22
166|County 6|2018-02-16|2019-02-05
167|County 9|2015-07-21|2016-07-01
168|County 3|2012-01-04|2012-04-05
169|County 8|2013-03-17|2013-08-13
170|County 6|2014-11-07|2015-05-02
171|County 9|2015-01-23|2016-01-01
172|County 8|2013-04-27|2013-10-10
173|County 8|2015-12-10|2017-02-12
174|County 6|2011-09-05|2011-11-18
175|County 1|2016-11-04|2017-06-26
176|County 1|2018-09-01|2019-04-17
177|County 6|2018-10-30|2019-09-23
178|County 6|2012-04-10|2012-06-10
179|County 9|2014-09-11|2014-12-29
180|County 8|2014-01-06|2014-05-30
181|County 9|2007-09-15|2007-11-10
182|County 7|2013-05-14|2013-10-13
183|County 1|2013-08-12|2013-09-29
184|County 1|2018-03-17|2018-12-16
185|County 1|2013-03-03|2013-06-22
186|County 8|2014-09-05|2015-03-18
187|County 1|2016-07-01|2017-07-29
188|County 1|2023-05-07|2023-12-10
189|County 9|2012-01-24|2012-03-14
190|County 9|2018-08-17|2019-05-26
191|County 1|2013-03-26|2013-09-20
192|County 6|2011-09-26|2012-05-25
193|County 1|2018-04-27|2018-09-09
194|County 5|2013-05-05|2013-09-17
195|County 8|2012-08-05|2013-04-10
196|County 8|2014-02-21|2014-08-14
197|County 9|2019-12-20|2022-06-30
198|County 1|2014-03-08|2014-09-23
199|County 6|2012-12-08|2013-03-12
200|County 6|2019-07-25|2020-01-17
201|County 9|2020-02-19|2020-07-13
202|County 9|2013-12-27|2014-08-16
203|County 6|2012-02-12|2012-05-29
204|County 8|2021-03-01|2021-10-03
205|County 8|2023-03-26|2023-08-04
206|County 4|2011-04-09|2011-06-29
207|County 9|2014-08-30|2017-07-30
208|County 1|2012-08-11|2012-10-31
209|County 1|2012-10-19|2013-06-11
210|County 1|2018-05-29|2018-12-10
211|County 8|2023-04-13|2023-11-17
212|County 8|2021-05-21|2021-12-10
213|County 6|2015-01-06|2015-03-27
214|County 9|2023-02-15|2023-10-14
215|County 1|2013-07-31|2013-11-20
216|County 6|2012-03-27|2012-06-11
217|County 6|2019-05-28|2020-01-25
218|County 6|2018-04-14|2018-07-03
219|County 6|2018-10-29|2019-09-15
220|County 8|2021-11-10|2022-09-01
221|County 6|2010-10-12|2011-03-09
222|County 6|2014-03-08|2014-07-18
223|County 6|2012-05-13|2012-07-16
224|County 1|2010-11-02|2011-04-25
225|County 9|2021-12-02|2022-07-01
226|County 8|2016-06-01|2016-09-02
227|County 8|2018-01-18|2018-09-27
228|County 5|2013-03-06|2013-10-06
229|County 5|2014-04-08|2014-08-06
230|County 1|2012-04-07|2013-05-26
231|County 1|2014-05-23|2014-09-20
232|County 1|2014-07-15|2014-11-03
233|County 8|2010-01-18|2010-04-05
234|County 1|2019-03-19|2019-09-20
235|County 8|2013-07-26|2013-12-11
236|County 1|2012-12-04|2013-06-08
237|County 6|2018-11-03|2019-07-26
238|County 8|2010-03-29|2010-07-23
239|County 9|2013-07-07|2014-01-01
240|County 8|2016-05-28|2017-07-09
241|County 1|2014-02-03|2014-07-17
242|County 6|2023-04-11|2023-09-02
243|County 1|2017-05-18|2019-02-23
244|County 8|2013-08-06|2013-11-25
245|County 1|2021-07-29|2022-02-17
246|County 1|2014-01-20|2014-04-04
247|County 6|2014-08-22|2014-12-27
248|County 8|2007-02-19|2007-06-01
249|County 9|2019-09-16|2019-12-12
250|County 1|2017-10-03|2019-12-22
251|County 6|2013-12-01|2014-10-01
252|County 9|2023-03-18|2023-08-06
